n_true,profile,rep,N,n_exp,n_soe,n_exp_1s,beta_exp
0.7,fast,5,5949,0.5422113802491909,0.6858471421674279,0.6708240923086439,1512.5428995194486
0.7,fast,6,5810,0.5475780478500719,0.7379815333068811,0.6696931532086379,1457.0138867512862
0.7,fast,7,5673,0.5169385431366158,0.658276270560849,0.6529376486765937,1571.2277508179836
0.7,fast,8,6085,0.558452542076457,0.6950619023583313,0.6916748900929096,1394.5373619645918
0.7,fast,9,5772,0.537735728491894,0.6894103890870831,0.6626767032251009,1436.8380916564115
0.7,fast,10,5885,0.5480988144364725,0.8165736247860136,0.6698813752992324,1359.038243338307
0.7,fast,11,5594,0.5340180307074144,0.7125050415912983,0.6701758787361026,1594.0548490029687
0.7,fast,12,5977,0.5434529452056487,0.6897481256614679,0.6710835549432139,1452.712806945373
0.7,fast,13,5468,0.5307712857534925,0.6710226488136867,0.6615674060791555,1523.925324727831
0.7,fast,14,5864,0.5525512228894045,0.7473725922708792,0.6833830969154905,1500.7179116086047
0.7,fast,15,5878,0.5610847552766838,0.6849124529073303,0.6745139773339512,1428.495702873966
0.7,fast,16,6434,0.5649435327179213,0.7209800153096206,0.6848149782779916,1344.1426147559876
0.7,fast,17,6136,0.5288037382324617,0.6918825225668812,0.665920136485182,1531.884012920755
0.7,fast,18,6327,0.5540032601392142,0.7107746789116179,0.6868132723117629,1517.052560089389
0.7,fast,19,5836,0.5276993139199825,0.6699026112775542,0.6538796641654215,1435.0045348277338
0.7,fast,20,5956,0.527161572620429,0.7049916773075842,0.6677459746039427,1555.5161472281488
0.7,fast,21,6193,0.5489938231065006,0.7290743494974863,0.6828908950640148,1456.2018718622794
0.7,fast,22,5830,0.5379036449950894,0.7692360937605973,0.6728263695113327,1458.5168076366572
0.7,fast,23,5903,0.561277061861144,0.7441766341583773,0.6810676424893123,1434.681488739187
0.7,fast,24,5983,0.5500591818025642,0.7018784154385188,0.6810732833263282,1565.134235443014
0.7,fast,25,5720,0.5419542139186633,0.7090640213754535,0.6630431413512747,1375.3647281418698
0.7,fast,26,5609,0.5323482910924964,0.6440716580958682,0.6461280572636628,1441.0655608164127
0.7,fast,27,5932,0.5452150696919601,0.6881148382246443,0.6700420039024201,1560.1832280760034
0.7,fast,28,6115,0.5558794082145823,0.7296825336752172,0.6861871899113343,1341.520104016882
0.7,fast,29,5736,0.5397388806909568,0.684585525663207,0.6617138390527529,1391.632497474194
0.7,balanced,0,5902,0.2609925114088821,0.7540070426932349,0.5172250291842454,703.5934859513706
0.7,balanced,1,6129,0.2782095816080534,0.692206600644523,0.5263332910978371,853.5827054691467
0.7,balanced,2,6116,0.2653957439300197,0.6835140155457685,0.5118199697782916,838.0070841795522
